,id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp,full_spec_name,file_name_stub
0,380007,Periparus,ater,ater,birds,Coal Tit,Jerome Fischer,Switzerland,"Grünenbergpass, Bern",46.7649,7.8608,1600,alarm call,,,field recording,//xeno-canto.org/380007,https://xeno-canto.org/380007/download,"XC380007-Coal Tit, 11.06.17, alarm call, Grünenbergpass BE.mp3","{'small': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC380007-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC380007-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC380007-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,11:00,2017-06-11,2017-07-16,[],,yes,yes,no,,,no,,,48000,Periparus ater,Periparus_ater_XC380007_Coal_Tit_110617_alarm_call_Grunenbergpass_BE
1,163674,Cyanistes,caeruleus,caeruleus,birds,Eurasian Blue Tit,Jerome Fischer,Switzerland,"Corcelles-Cormondrèche, Boudry, Canton of Neuchâtel",46.9906,6.8675,700,song,,,field recording,//xeno-canto.org/163674,https://xeno-canto.org/163674/download,XC163674-Blue Tit.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC163674-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC163674-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC163674-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:10,12:30,2014-01-06,2014-01-07,[],"agitated song, same bird as XC163672",yes,yes,unknown,,,no,,,48000,Cyanistes caeruleus,Cyanistes_caeruleus_XC163674_Blue_Tit
2,314294,Parus,major,,birds,Great Tit,iSpiny,Switzerland,"Weissensteinstrasse, Wynau, Bern, Switzerland",47.2581,7.8116,449,song,,,field recording,//xeno-canto.org/314294,https://xeno-canto.org/314294/download,XC314294-greattitBern210216175630.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/VCWOLAERZN/wave/XC314294-small.png', 'med': '//xeno-canto.org/sounds/uploaded/VCWOLAERZN/wave/XC314294-med.png', 'large': '//xeno-canto.org/sounds/uploaded/VCWOLAERZN/wave/XC314294-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,17:00,2016-02-21,2016-04-30,[],The recording was made using the ChirpOMatic iPhone app.,unknown,unknown,unknown,,,no,,,44100,Parus major,Parus_major_XC314294_greattitBern210216175630
3,170174,Parus,major,,birds,Great Tit,Jerome Fischer,Switzerland,"Ins, Erlach District, Canton of Bern",46.9883,7.0515,460,song,,,field recording,//xeno-canto.org/170174,https://xeno-canto.org/170174/download,XC170174-Great Tit.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC170174-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC170174-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC170174-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,A,0:11,10:30,2014-03-18,2014-03-18,"['Fringilla coelebs', 'Phylloscopus collybita']",,yes,yes,no,,,no,,,44100,Parus major,Parus_major_XC170174_Great_Tit
4,485736,Parus,major,,birds,Great Tit,Pierre Mollet,Switzerland,"Mosnang, Toggenburg, Sankt Gallen",47.3474,8.9745,1100,song,,,field recording,//xeno-canto.org/485736,https://xeno-canto.org/485736/download,XC485736-ParMaj_20190423_Roten_ZHSG.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/URWURWWNAD/wave/XC485736-small.png', 'med': '//xeno-canto.org/sounds/uploaded/URWURWWNAD/wave/XC485736-med.png', 'large': '//xeno-canto.org/sounds/uploaded/URWURWWNAD/wave/XC485736-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:12,07:00,2019-04-23,2019-07-09,[],,no,no,no,,,no,,,44100,Parus major,Parus_major_XC485736_ParMaj_20190423_Roten_ZHSG
5,357386,Parus,major,major,birds,Great Tit,Manuel Schweizer,Switzerland,"Golaten, Laupen, Bern",46.988,7.2535,460,call,,,field recording,//xeno-canto.org/357386,https://xeno-canto.org/357386/download,XC357386-Parus_major_Niederried_170215_.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KIFILMEEEO/wave/XC357386-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KIFILMEEEO/wave/XC357386-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KIFILMEEEO/wave/XC357386-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:12,09:00,2017-02-25,2017-03-01,['Fulica atra'],,yes,yes,unknown,,,no,,,44100,Parus major,Parus_major_XC357386_Parus_major_Niederried_170215_
6,247555,Parus,major,,birds,Great Tit,Jerome Fischer,Switzerland,"Gümligen, Bern, Bern",46.9338,7.4967,550,call,,juvenile,field recording,//xeno-canto.org/247555,https://xeno-canto.org/247555/download,"XC247555-Great Tit, juv.mp3","{'small': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC247555-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC247555-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC247555-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:10,10:00,2015-06-02,2015-06-02,[],,yes,yes,unknown,,,no,,,48000,Parus major,Parus_major_XC247555_Great_Tit_juv
7,247553,Parus,major,,birds,Great Tit,Jerome Fischer,Switzerland,"Gümligen, Bern, Bern",46.9338,7.4967,550,alarm call,,,field recording,//xeno-canto.org/247553,https://xeno-canto.org/247553/download,XC247553-Great Tit.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC247553-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC247553-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC247553-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:11,10:00,2015-06-02,2015-06-02,[],,yes,yes,no,,,no,,,48000,Parus major,Parus_major_XC247553_Great_Tit
8,751169,Poecile,montanus,montanus,birds,Willow Tit,Florian Marchner,Switzerland,"Camping Morteratsch (near  Pontresina), Maloja, Graubünden",46.4608,9.9349,1900,song,,,field recording,//xeno-canto.org/751169,https://xeno-canto.org/751169/download,XC751169-Alpenmeise CH.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/YBUXDNOOTG/wave/XC751169-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YBUXDNOOTG/wave/XC751169-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YBUXDNOOTG/wave/XC751169-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:12,16:30,2022-07-15,2022-09-28,[],,yes,yes,no,,,no,,,48000,Poecile montanus,Poecile_montanus_XC751169_Alpenmeise_CH
9,346377,Poecile,montanus,,birds,Willow Tit,Jerome Fischer,Switzerland,"Flühli, Entlebuch, Obwalden",46.8518,8.0612,1400,call,,,field recording,//xeno-canto.org/346377,https://xeno-canto.org/346377/download,"XC346377-Willow Tit, 12.12., LU.mp3","{'small': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC346377-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC346377-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC346377-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:12,08:30,2016-12-12,2016-12-17,[],,yes,yes,no,,,no,,,48000,Poecile montanus,Poecile_montanus_XC346377_Willow_Tit_1212_LU
10,190504,Poecile,montanus,montanus,birds,Willow Tit,Lüthi Thomas,Switzerland,"Visperterminen, Visp, Valais",46.2668,7.9154,1600,"call, courtship song",,,field recording,//xeno-canto.org/190504,https://xeno-canto.org/190504/download,XC190504-Weidenmeise_plus_ID_unknow.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TOKIKPVFMA/wave/XC190504-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TOKIKPVFMA/wave/XC190504-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TOKIKPVFMA/wave/XC190504-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:12,07:30,2014-08-04,2014-08-11,[],,no,no,no,,,no,,,44100,Poecile montanus,Poecile_montanus_XC190504_Weidenmeise_plus_ID_unknow
11,189690,Poecile,montanus,,birds,Willow Tit,Jerome Fischer,Switzerland,"Eriz, Thun District, Canton of Bern",46.7874,7.8506,1500,alarm call,,,field recording,//xeno-canto.org/189690,https://xeno-canto.org/189690/download,XC189690-Willow Tit.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC189690-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC189690-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC189690-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:11,09:00,2014-08-04,2014-08-04,[],,yes,yes,no,,,no,,,44100,Poecile montanus,Poecile_montanus_XC189690_Willow_Tit
12,379998,Pyrrhocorax,graculus,,birds,Alpine Chough,Jerome Fischer,Switzerland,"Rüeggisberg, Seftigen, Bern",46.705,7.4573,1900,call,,,field recording,//xeno-canto.org/379998,https://xeno-canto.org/379998/download,"XC379998-Alpine Chough, 10.06., call, Gantrisch BE.mp3","{'small': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC379998-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC379998-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC379998-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,06:00,2017-06-10,2017-07-16,[],,yes,yes,no,,,no,,,48000,Pyrrhocorax graculus,Pyrrhocorax_graculus_XC379998_Alpine_Chough_1006_call_Gantrisch_BE
13,376694,Pyrrhocorax,graculus,,birds,Alpine Chough,Roby,Switzerland,"Innerferrera, Hinterrhein, Graubünden",46.4825,9.458,2000,song,,,field recording,//xeno-canto.org/376694,https://xeno-canto.org/376694/download,XC376694-1 Gracchio 20617 LEI UNO copia.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KDUPOCIDHM/wave/XC376694-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDUPOCIDHM/wave/XC376694-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDUPOCIDHM/wave/XC376694-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:09,20:00,2017-06-20,2017-06-23,[],,yes,yes,unknown,,,no,,,44100,Pyrrhocorax graculus,Pyrrhocorax_graculus_XC376694_1_Gracchio_20617_LEI_UNO_copia
14,375460,Pyrrhocorax,graculus,,birds,Alpine Chough,Roby,Switzerland,"Nufenen Passhöhe (near  Obergoms VS), Goms, Wallis",46.4772,8.3873,2500,song,,,field recording,//xeno-canto.org/375460,https://xeno-canto.org/375460/download,XC375460-Gracchio Alpino 14 6 17 Nufenen.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KDUPOCIDHM/wave/XC375460-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDUPOCIDHM/wave/XC375460-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDUPOCIDHM/wave/XC375460-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:11,06:00,2017-06-14,2017-06-14,[],,yes,yes,unknown,,,no,,,44100,Pyrrhocorax graculus,Pyrrhocorax_graculus_XC375460_Gracchio_Alpino_14_6_17_Nufenen
15,184167,Pica,pica,,birds,Eurasian Magpie,Jerome Fischer,Switzerland,Bern BE,46.9509,7.4339,550,call,,,field recording,//xeno-canto.org/184167,https://xeno-canto.org/184167/download,XC184167-Magpie.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC184167-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC184167-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC184167-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:10,14:00,2014-06-28,2014-06-28,['Passer domesticus'],mobbing a squirrel,yes,yes,no,,,no,,,44100,Pica pica,Pica_pica_XC184167_Magpie
16,345852,Nucifraga,caryocatactes,,birds,Spotted Nutcracker,Jerome Fischer,Switzerland,"Grünenbergpass, Bern",46.7649,7.8608,1600,call,,,field recording,//xeno-canto.org/345852,https://xeno-canto.org/345852/download,"XC345852-Spotted Nutcracker, 07.12., call, Habkern BE.mp3","{'small': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC345852-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC345852-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JPBSNBUUEF/wave/XC345852-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:10,10:30,2016-12-07,2016-12-11,['Loxia curvirostra'],,yes,yes,no,,,no,,,48000,Nucifraga caryocatactes,Nucifraga_caryocatactes_XC345852_Spotted_Nutcracker_0712_call_Habkern_BE
17,113842,Nucifraga,caryocatactes,caryocatactes,birds,Spotted Nutcracker,Bram Piot,Switzerland,"Bagnes, Valais",46.068,7.196,1600,call,,,field recording,//xeno-canto.org/113842,https://xeno-canto.org/113842/download,XC113842-Nuccar_Bagnes_20120520_edited2.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC113842-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC113842-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC113842-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:12,09:00,2012-05-20,2012-11-30,[],lesser know Eurasian Jay - like call - possibly by a juvenile,yes,yes,no,,,no,,,44100,Nucifraga caryocatactes,Nucifraga_caryocatactes_XC113842_Nuccar_Bagnes_20120520_edited2
